match_id,season,date,venue,city,team1,team2,toss_winner,toss_decision,winner,win_margin,player_of_match,toss_won_match,chased_successfully
335982,2007,2008-04-18,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,140.0,BB McCullum,0,1
335983,2007,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,33.0,MEK Hussey,1,1
335984,2007,2008-04-19,Feroz Shah Kotla,Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,9.0,MF Maharoof,0,0
335985,2007,2008-04-20,Wankhede Stadium,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,5.0,MV Boucher,0,1
335986,2007,2008-04-20,Eden Gardens,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Kolkata Knight Riders,5.0,DJ Hussey,0,0
335987,2007,2008-04-21,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,6.0,SR Watson,0,0
335988,2007,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,9.0,V Sehwag,0,1
335989,2007,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,6.0,ML Hayden,0,0
335990,2007,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,3.0,YK Pathan,1,1
335991,2007,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,66.0,KC Sangakkara,0,0
335992,2007,2008-04-26,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,7.0,SR Watson,1,1
335993,2007,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,9.0,JDP Oram,0,0
335994,2007,2008-04-27,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,10.0,AC Gilchrist,1,1
335995,2007,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Punjab Kings,4.0,SM Katich,0,0
335996,2007,2008-04-28,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,13.0,MS Dhoni,1,1
335997,2007,2008-04-29,Eden Gardens,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,7.0,ST Jayasuriya,0,1
335998,2007,2008-04-30,Feroz Shah Kotla,Delhi,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,10.0,GD McGrath,0,0
335999,2007,2008-05-01,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Punjab Kings,7.0,SE Marsh,1,1
336000,2007,2008-05-01,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,45.0,SA Asnodkar,1,0
336001,2007,2008-05-02,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,8.0,V Sehwag,0,1
336003,2007,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Punjab Kings,9.0,IK Pathan,1,0
336034,2007,2008-05-03,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,3.0,P Kumar,0,0
336004,2007,2008-05-04,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,29.0,SM Pollock,0,0
336005,2007,2008-05-04,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,8.0,Sohail Tanvir,0,0
