season,total_matches,unique_venues,champion,avg_win_margin
2007,58,9,Rajasthan Royals,16.0
2009,117,21,Royal Challengers Bangalore,18.3
2011,72,12,Chennai Super Kings,18.9
2012,74,12,Kolkata Knight Riders,16.2
2013,76,13,Mumbai Indians,19.8
2014,60,13,Punjab Kings,14.7
2015,57,13,Chennai Super Kings,17.8
2016,60,11,Sunrisers Hyderabad,15.3
2017,59,11,Mumbai Indians,17.1
2018,60,10,Chennai Super Kings,14.4
2019,59,9,Mumbai Indians,15.2
2020,60,3,Mumbai Indians,22.6
2021,60,7,Chennai Super Kings,13.6
2022,74,6,Gujarat Titans,17.0
2023,73,12,Gujarat Titans,19.2
2024,71,13,Kolkata Knight Riders,17.9
