team,matches_played,wins,losses,win_pct,toss_wins,toss_then_match_wins,chases_played,chase_wins,chase_win_pct
Mumbai Indians,261,144,117,55.2,143,78,138,74,53.6
Chennai Super Kings,237,138,99,58.2,121,75,109,63,57.8
Kolkata Knight Riders,251,131,120,52.2,122,68,130,66,50.8
Royal Challengers Bangalore,252,123,129,48.8,120,61,111,53,47.7
Sunrisers Hyderabad,257,117,140,45.5,131,57,132,60,45.5
Delhi Capitals,250,115,135,46.0,129,61,125,54,43.2
Rajasthan Royals,219,112,107,51.1,118,60,118,57,48.3
Punjab Kings,246,112,134,45.5,109,45,123,58,47.2
Gujarat Titans,45,28,17,62.2,22,14,24,17,70.8
Lucknow Super Giants,43,24,19,55.8,19,10,21,8,38.1
Rising Pune Supergiants,30,15,15,50.0,13,8,16,8,50.0
Gujarat Lions,30,13,17,43.3,15,10,14,8,57.1
Pune Warriors India,45,12,33,26.7,20,3,22,6,27.3
Kochi Tuskers Kerala,14,6,8,42.9,8,4,7,3,42.9
